mode,d_air_nm,wavelength_nm,reflectance,delta_r
case_a,0.0,400,0.07425163669886871,0.0
case_a,0.0,401,0.07318091988151862,0.0
case_a,0.0,402,0.07213079530170512,0.0
case_a,0.0,403,0.07110123432110414,0.0
case_a,0.0,404,0.07009219928981184,0.0
case_a,0.0,405,0.06910364379650885,0.0
case_a,0.0,406,0.06813551293107822,0.0
case_a,0.0,407,0.06718774354280195,0.0
case_a,0.0,408,0.06626026449464836,0.0
case_a,0.0,409,0.06535299692555488,0.0
case_a,0.0,410,0.06446585451463129,0.0
case_a,0.0,411,0.06359874373983768,0.0
case_a,0.0,412,0.06275156413486399,0.0
case_a,0.0,413,0.0619242085532198,0.0
case_a,0.0,414,0.06111656342718008,0.0
case_a,0.0,415,0.06032850902128353,0.0
case_a,0.0,416,0.05955991968807956,0.0
case_a,0.0,417,0.058810664124045536,0.0
case_a,0.0,418,0.058080605619041215,0.0
case_a,0.0,419,0.05736960230132333,0.0
case_a,0.0,420,0.05667750738550348,0.0
case_a,0.0,421,0.056004169414947444,0.0
case_a,0.0,422,0.05534943249782162,0.0
case_a,0.0,423,0.05471313654159928,0.0
case_a,0.0,424,0.05409511748623533,0.0
case_a,0.0,425,0.053495207530437364,0.0
case_a,0.0,426,0.052913235352190155,0.0
case_a,0.0,427,0.05234902632904275,0.0
case_a,0.0,428,0.051802402752810325,0.0
case_a,0.0,429,0.05127318403760626,0.0
case_a,0.0,430,0.050761186924110205,0.0
case_a,0.0,431,0.05026622568140156,0.0
case_a,0.0,432,0.04978811230200894,0.0
case_a,0.0,433,0.04932665669072868,0.0
case_a,0.0,434,0.04888166685116701,0.0
case_a,0.0,435,0.048452949066951675,0.0
case_a,0.0,436,0.04804030807644003,0.0
case_a,0.0,437,0.047643547242632346,0.0
case_a,0.0,438,0.04726246871997532,0.0
case_a,0.0,439,0.04689687361480757,0.0
case_a,0.0,440,0.046546562139833,0.0
case_a,0.0,441,0.046211333765185554,0.0
case_a,0.0,442,0.04589098736457007,0.0
case_a,0.0,443,0.045585321355451354,0.0
case_a,0.0,444,0.045294133834245846,0.0
case_a,0.0,445,0.04469555151298052,0.0
case_a,0.0,446,0.04415794187581175,0.0
case_a,0.0,447,0.04368073223841444,0.0
case_a,0.0,448,0.04326332808629223,0.0
case_a,0.0,449,0.0429580911286757,0.0
case_a,0.0,450,0.04274139936658381,0.0
case_a,0.0,451,0.04259361556867744,0.0
case_a,0.0,452,0.042499271032074806,0.0
case_a,0.0,453,0.04245251846012339,0.0
case_a,0.0,454,0.04240179788368411,0.0
case_a,0.0,455,0.04234665741178223,0.0
case_a,0.0,456,0.04229648252632329,0.0
case_a,0.0,457,0.04226180081286656,0.0
case_a,0.0,458,0.042233713394383726,0.0
case_a,0.0,459,0.04219472729286569,0.0
case_a,0.0,460,0.042149189119459744,0.0
case_a,0.0,461,0.04211575193909431,0.0
case_a,0.0,462,0.042097175706025655,0.0
case_a,0.0,463,0.04208142846992557,0.0
case_a,0.0,464,0.04206244600702372,0.0
case_a,0.0,465,0.04204461215747569,0.0
case_a,0.0,466,0.04203298508228494,0.0
case_a,0.0,467,0.04202882674100871,0.0
case_a,0.0,468,0.04203028873194893,0.0
case_a,0.0,469,0.04203800620568668,0.0
case_a,0.0,470,0.04205547548778038,0.0
case_a,0.0,471,0.04208178065608205,0.0
case_a,0.0,472,0.042112670163470735,0.0
